"Experimental Data, Sydney Piloted Jet Flame",,,
"Arbitrary Location: x/D_J = 10, r/D_J = 0.6",,,
N_Samples = 500,,,
,,,
ZMIX,TEMP,Y_CO2,Y_CO
0.088642,1804.6,0.10523,0.064767
0.10257,1200.6,0.056885,0.033334
0.14824,1048.7,0.047179,0.033925
0.11274,1066.2,0.041447,0.03203
0.11433,1122.6,0.04875,0.036577
0.22719,522.96,0.014386,0.0080312
0.20168,729.42,0.020735,0.017612
0.090636,1553.4,0.080271,0.049832
0.1466,907.17,0.033548,0.02609
0.071588,1886.3,0.082803,0.07423
0.086807,1086.9,0.044969,0.028933
0.14471,895.37,0.033182,0.02427
0.083719,1251.1,0.055904,0.039376
0.15681,809.08,0.03545,0.021893
0.13412,927.89,0.031334,0.025591
0.082229,1872.5,0.094151,0.061454
0.10432,1165.4,0.044499,0.038401
0.088706,1552.9,0.081583,0.05085
0.089465,1588.2,0.093631,0.041664
0.1076,902.02,0.025723,0.024328
0.14169,840.78,0.030861,0.022686
0.12607,1020.3,0.043923,0.028594
0.093634,1539.9,0.084347,0.044267
0.12748,896.14,0.03538,0.02361
0.21857,636.83,0.016427,0.014625
0.079852,1846.8,0.10332,0.061448
0.08872,1603.8,0.085464,0.046478
0.084793,1780.3,0.099267,0.065948
0.12466,516.31,0.01092,0.0078421
0.16206,818.2,0.033214,0.021367
0.12047,1017.5,0.042088,0.030092
0.14912,950.55,0.040607,0.026703
0.2146,766.02,0.033405,0.019416
0.11272,1217.9,0.054258,0.034883
0.098103,1502.8,0.086904,0.049279
0.11768,1207.4,0.052544,0.041101
0.177,695.84,0.024382,0.016358
0.13033,1018.9,0.040757,0.029152
0.06569,2018.5,0.11533,0.04859
0.12081,924.72,0.033343,0.026369
0.15807,544.93,0.010577,0.010499
0.10201,1500,0.076331,0.05265
0.091822,1485.6,0.073639,0.049772
0.083008,1536.3,0.074677,0.041515
0.1208,1166.3,0.056811,0.036162
0.13169,1068.6,0.048107,0.03631
0.15318,662.46,0.018443,0.014136
0.12483,1011.3,0.04196,0.029407
0.12461,1074.4,0.048356,0.035066
0.12966,1025.4,0.037263,0.030309
0.087835,1743.5,0.09501,0.058819
0.11097,1112.7,0.045986,0.03165
0.15119,1325.3,0.074047,0.043353
0.12337,968.26,0.039982,0.024703
0.19228,488.79,0.010195,0.007392
0.12078,946.17,0.030531,0.024936
0.12831,1087.5,0.051216,0.032099
0.10196,1488.1,0.0751,0.052959
0.10762,1443.8,0.074159,0.049112
0.096871,1187.6,0.051588,0.043101
0.097248,1430.2,0.070061,0.044322
0.13162,1117.8,0.053928,0.032253
0.14836,840.58,0.035602,0.022474
0.10533,1382.5,0.067783,0.044328
0.073226,1811.6,0.090003,0.055222
0.092126,1623.2,0.094387,0.059074
0.16867,441.02,0.011291,0.0070306
0.12035,860.02,0.030736,0.021173
0.14223,905.87,0.034907,0.026513
0.1477,840.87,0.03436,0.025347
0.13209,1195.7,0.062741,0.036206
0.19902,680.38,0.015294,0.015454
0.10047,831.42,0.027852,0.021395
0.085057,1679.5,0.088258,0.052748
0.098003,1576.1,0.086667,0.042584
0.19244,768.29,0.023707,0.02033
0.10637,1329.1,0.065695,0.042061
0.099869,1331.2,0.064655,0.039897
0.11445,1357.2,0.066534,0.047208
0.092667,1597,0.085665,0.048555
0.13997,548.25,0.0070363,0.010799
0.098132,1143.5,0.046123,0.034562
0.093802,1090.9,0.050203,0.030461
0.13038,1029.4,0.045015,0.033805
0.14518,1092.7,0.04805,0.030391
0.11617,1201.7,0.051213,0.035519
0.090313,1605,0.085458,0.042491
0.10957,1223.2,0.046025,0.039704
0.085404,1789.9,0.10046,0.068915
0.067765,1938,0.097101,0.059252
0.10016,1418.6,0.069358,0.045189
0.097962,1284.7,0.060465,0.03927
0.083553,1583.6,0.0819,0.04302
0.087162,1727.1,0.0911,0.056444
0.10203,1219.8,0.052756,0.03986
0.10167,1446.9,0.077811,0.050752
0.15803,780.23,0.027714,0.022807
0.11669,981.16,0.037979,0.03019
0.15377,757.21,0.024136,0.018495
0.090343,801.96,0.019027,0.01917
0.069214,2021.3,0.10524,0.045535
0.16432,675.71,0.022624,0.014422
0.094869,1600.3,0.087598,0.047545
0.08973,1499.2,0.073699,0.05025
0.13331,992.7,0.039019,0.024133
0.11463,1238.9,0.054919,0.03738
0.12293,606.81,0.016222,0.007979
0.10617,1165.5,0.05112,0.034662
0.17088,1091.3,0.054777,0.034015
0.13094,1015.8,0.04163,0.027364
0.20631,373.93,0.0047004,0.0032765
0.095686,1334.1,0.061453,0.044748
0.087715,1475.5,0.069477,0.049151
0.16687,679.32,0.023147,0.016776
0.081928,1814.3,0.09742,0.070238
0.078766,1076.9,0.037976,0.027559
0.14314,940.36,0.033966,0.026748
0.086952,994.06,0.041137,0.028467
0.1078,1098.7,0.046185,0.033374
0.10305,1328.8,0.061702,0.040761
0.09305,1528.2,0.075455,0.04986
0.13631,825.09,0.029525,0.020522
0.17713,784.3,0.032345,0.020391
0.1978,578.37,0.018033,0.011395
0.10641,1165,0.049172,0.03441
0.1401,873.92,0.033423,0.025505
0.11747,994.36,0.041745,0.030406
0.20318,591.7,0.016866,0.011662
0.098249,1431.7,0.072324,0.05117
0.13141,1028.2,0.042347,0.032622
0.1078,1329.5,0.063101,0.041127
0.099604,1439.9,0.066676,0.054177
0.10088,1288.7,0.058374,0.040669
0.070549,1896.8,0.10538,0.053965
0.092671,1583.4,0.081822,0.053117
0.081664,1793.6,0.091159,0.05897
0.15891,668.18,0.015868,0.013724
0.11769,1108.2,0.039655,0.03318
0.14778,826.54,0.030639,0.021595
0.1221,901.84,0.034918,0.022434
0.11345,727.68,0.026578,0.0092297
0.14773,563,0.010586,0.010398
0.11083,993.53,0.033994,0.025021
0.078256,1874.4,0.10265,0.049421
0.17467,520.41,0.014697,0.0090042
0.12731,926.07,0.038341,0.024377
0.1094,1085.8,0.042023,0.032546
0.12953,1104,0.061012,0.032421
0.08771,1709.7,0.089652,0.0609
0.18506,395.9,0.005696,0.0049145
0.12518,1216.1,0.055626,0.041925
0.11542,934.61,0.035577,0.024123
0.11609,1365.6,0.062912,0.050841
0.13242,603.7,0.016281,0.011957
0.090592,719.54,0.016009,0.014368
0.087123,1586.8,0.07814,0.045056
0.1365,1060.3,0.045878,0.032782
0.080614,996.47,0.037669,0.02526
0.13376,939.5,0.03709,0.029311
0.1178,919.61,0.030695,0.027337
0.14517,604.86,0.013659,0.014332
0.10104,1352.5,0.057951,0.048629
0.19365,572.17,0.016787,0.011022
0.089373,1790.8,0.090885,0.076515
0.15168,720.26,0.023686,0.014934
0.069717,2007.6,0.11073,0.052739
0.089412,1532.2,0.078184,0.050402
0.2507,479.58,0.01081,0.004245
0.13335,1056,0.039858,0.032775
0.10686,1208.2,0.053901,0.03339
0.17168,743.04,0.026079,0.019603
0.085349,1549,0.078303,0.045197
0.10578,1217.7,0.051429,0.03634
0.14581,1005.8,0.042429,0.029797
0.10132,991.08,0.033209,0.027438
0.081163,1818.1,0.094849,0.063061
0.11885,1219,0.053858,0.038546
0.073008,1955,0.10338,0.052771
0.089542,1577.1,0.082697,0.057021
0.10406,657.4,0.01785,0.011369
0.10008,1391.8,0.066695,0.047344
0.097387,1459.3,0.077884,0.050918
0.13196,813.5,0.033887,0.020228
0.095374,1319.1,0.06404,0.042534
0.09556,1461,0.070833,0.048777
0.089475,1073.8,0.044488,0.030865
0.12881,415.12,0.0048814,0.0021251
0.11358,956.09,0.040144,0.029963
0.091092,1509,0.074942,0.052128
0.092579,1407.2,0.072509,0.043031
0.10923,1228.2,0.051758,0.037803
0.11926,1220.1,0.063291,0.03688
0.28412,385.81,0.0059503,0.0034053
0.098192,1423.5,0.065573,0.047377
0.16265,771,0.026803,0.020492
0.087565,1553.7,0.072514,0.055732
0.16236,692.83,0.020487,0.017569
0.092598,1433.3,0.07329,0.039936
0.078882,1741.4,0.085612,0.058915
0.099989,1154.6,0.044234,0.038003
0.10618,1413.5,0.077435,0.040741
0.11708,912.46,0.035519,0.025236
0.12085,1175.7,0.058729,0.037848
0.081817,1809.4,0.094621,0.061946
0.11267,1135.5,0.052939,0.038147
0.093977,796.18,0.031561,0.016931
0.1392,914.68,0.03364,0.024762
0.1342,1068.3,0.048566,0.029812
0.062522,2052.5,0.10891,0.037148
0.15018,799.11,0.026189,0.019804
0.12602,921.11,0.034118,0.028405
0.096958,1535,0.081326,0.048544
0.1037,1279.6,0.0542,0.043648
0.21609,591.88,0.01156,0.010141
0.11176,897.45,0.034812,0.024488
0.096505,1609.6,0.08016,0.058664
0.094986,1334.1,0.060083,0.036907
0.084751,1652.5,0.085047,0.056446
0.097117,1299.4,0.061553,0.039712
0.17451,756.83,0.024916,0.021305
0.17169,596.55,0.015192,0.011726
0.084584,1796.7,0.095657,0.06191
0.17383,769.94,0.027541,0.023411
0.099925,1429.8,0.062097,0.04863
0.13634,1213,0.052956,0.038793
0.08855,1824.6,0.097023,0.062276
0.1284,1298.7,0.068566,0.044909
0.07834,1874.5,0.09946,0.060339
0.21396,664.79,0.015766,0.016364
0.08523,1819.9,0.09921,0.05614
0.09509,1408.4,0.066357,0.052084
0.089386,1523.3,0.076382,0.050481
0.1362,1029.1,0.045677,0.031353
0.13419,1113.7,0.05289,0.035692
0.17657,851.17,0.039274,0.02383
0.08621,762.48,0.02277,0.017564
0.12392,1259.6,0.071272,0.034321
0.12993,1152.5,0.054466,0.032249
0.091192,1597.1,0.084735,0.053125
0.081262,1854.4,0.097144,0.057817
0.081954,1700,0.074581,0.069456
0.12916,999.93,0.041917,0.027351
0.096252,1297.4,0.054063,0.040069
0.1759,947.24,0.038688,0.031665
0.10538,1526.9,0.080364,0.059964
0.1027,843.06,0.0257,0.024059
0.090139,1583.4,0.083708,0.049814
0.10152,1558.4,0.082891,0.050977
0.16122,625.3,0.014149,0.011979
0.13555,548.38,0.012493,0.0050614
0.095799,1367.2,0.06607,0.043115
0.17215,703.1,0.022895,0.017014
0.12944,954.96,0.037197,0.028972
0.085759,1814.9,0.097907,0.065013
0.080813,1784.6,0.094207,0.063844
0.15434,930.14,0.042461,0.025605
0.080179,1838,0.090996,0.069122
0.16334,745.06,0.0308,0.018195
0.12264,1050.1,0.044232,0.030881
0.11827,1094.6,0.053382,0.029368
0.06553,1981.9,0.099512,0.054649
0.11708,1177.5,0.055606,0.036125
0.17216,622.97,0.017017,0.013802
0.14474,886.08,0.028613,0.025383
0.23131,520.41,0.011305,0.0087925
0.11127,1337.5,0.06803,0.047707
0.090836,1352.4,0.066122,0.043907
0.12317,1199.7,0.054914,0.028657
0.1081,1228,0.06092,0.034905
0.1655,650.06,0.015718,0.01483
0.073336,1889.5,0.10841,0.055266
0.067683,1919.3,0.088445,0.051209
0.079599,1736.8,0.08745,0.05669
0.13262,938.66,0.038147,0.02512
0.10374,1232.3,0.057434,0.040676
0.10253,1445.5,0.075189,0.047163
0.14841,982.55,0.040053,0.030133
0.10412,1231,0.056859,0.035531
0.14088,1050.6,0.049425,0.03522
0.12292,861.29,0.028333,0.024105
0.12383,1187.9,0.064813,0.035525
0.18024,926.41,0.038825,0.026233
0.11798,932.92,0.032543,0.025721
0.063193,1981.1,0.10212,0.038625
0.12731,1161.5,0.05606,0.0328
0.10881,1006.3,0.030179,0.03123
0.075942,1743.3,0.094117,0.046136
0.082408,1261.4,0.041639,0.041707
0.10524,1145,0.047797,0.034232
0.11215,1151.4,0.050988,0.027213
0.15451,359.56,0.0027716,0.0027667
0.086345,1711.3,0.088962,0.055714
0.065469,2001.6,0.10886,0.041887
